Time,X,Y,Z,VX,VY,VZ,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate
2.7400,0.0000,0.0000,0.7002,0.0000,0.0000,-0.4501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7500,0.0000,0.0000,0.6964,0.0000,0.0000,-0.3838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7600,0.0000,0.0000,0.6932,0.0000,0.0000,-0.3176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7700,0.0000,0.0000,0.6907,0.0000,0.0000,-0.2514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7800,0.0000,0.0000,0.6888,0.0000,0.0000,-0.1852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7900,0.0000,0.0000,0.6876,0.0000,0.0000,-0.1192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8000,0.0000,0.0000,0.6871,0.0000,0.0000,-0.0533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8100,0.0000,0.0000,0.6872,0.0000,0.0000,0.0124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8200,0.0000,0.0000,0.6880,0.0000,0.0000,0.0779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8300,0.0000,0.0000,0.6894,0.0000,0.0000,0.1431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8400,0.0000,0.0000,0.6915,0.0000,0.0000,0.2082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8500,0.0000,0.0000,0.6942,0.0000,0.0000,0.2729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8600,0.0000,0.0000,0.6976,0.0000,0.0000,0.3372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8700,0.0000,0.0000,0.7016,0.0000,0.0000,0.4013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8800,0.0000,0.0000,0.7063,0.0000,0.0000,0.4649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8900,0.0000,0.0000,0.7116,0.0000,0.0000,0.5281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9000,0.0000,0.0000,0.7175,0.0000,0.0000,0.5908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9100,0.0000,0.0000,0.7240,0.0000,0.0000,0.6531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9200,0.0000,0.0000,0.7311,0.0000,0.0000,0.7149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9300,0.0000,0.0000,0.7389,0.0000,0.0000,0.7761,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9400,0.0000,0.0000,0.7473,0.0000,0.0000,0.8368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9500,0.0000,0.0000,0.7562,0.0000,0.0000,0.8968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9600,0.0000,0.0000,0.7658,0.0000,0.0000,0.9562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9700,0.0000,0.0000,0.7760,0.0000,0.0000,1.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9800,0.0000,0.0000,0.7867,0.0000,0.0000,1.0731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
